dataset,outer_fold,model,optimizer,runtime_seconds,best_objective_score,best_params,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,accuracy,balanced_accuracy,f1,roc_auc,demographic_parity_difference,equal_opportunity_difference,subsample,min_child_weight,learning_rate,colsample_bytree,fairness_applicable
adult,1,xgboost,bayesian,365.9980121999979,0.7970301211351067,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.9770484135458988, ""min_child_weight"": ""1""}",100,,,,7.0,0.8739891493499846,0.7990340329779336,0.7133876600698487,0.9249459153093548,0.1722140745188116,0.1124861791186226,0.8,1.0,0.1,0.9770484135458988,True
adult,2,random_forest,random,604.1871211999969,0.766209144302119,"{""n_estimators"": 50, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}",50,2.0,1.0,log2,,0.8530044016787798,0.7680915060127165,0.6633849038912331,0.900712129003427,0.1770658937538322,0.0937503811486907,,,,,True
adult,2,random_forest,bayesian,596.7930085999978,0.7643272994353555,"{""n_estimators"": ""98"", ""max_depth"": ""20"", ""min_samples_split"": ""10"", ""min_samples_leaf"": ""1""}",98,10.0,1.0,,20.0,0.8661070733954346,0.7679097367868796,0.6744649079143853,0.9186731502678938,0.1614523005848172,0.1173968459183548,,,,,True
adult,2,xgboost,random,347.26136679999763,0.7828880288007323,"{""subsample"": 0.8, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}",100,,,,7.0,0.872965503122121,0.7845833795238981,0.6985669176584892,0.9268007326945968,0.1677598882564008,0.0944882850138433,0.8,3.0,0.05,0.8,True
adult,2,xgboost,bayesian,362.8580634000027,0.7933806397730963,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": ""1""}",100,,,,7.0,0.8752175248234211,0.7951511476153754,0.711068973690448,0.9291642794346712,0.1712816179862946,0.0896583688055715,0.8,1.0,0.1,0.8,True
adult,3,random_forest,random,549.193253700003,0.7715318119636437,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}",100,2.0,1.0,log2,,0.8516584766584766,0.7696256134097368,0.6638830897703549,0.9006441633589573,0.1843982480461957,0.0562238930659982,,,,,True
adult,3,random_forest,bayesian,533.8154892999955,0.7673854280866895,"{""n_estimators"": ""50"", ""max_depth"": ""20"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",50,2.0,1.0,,20.0,0.8625102375102375,0.766491430186384,0.6696186961869619,0.9173819190755492,0.1654317632644045,0.07593984962406,,,,,True
adult,3,xgboost,random,336.980733700002,0.7840325490470764,"{""subsample"": 0.8, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}",100,,,,7.0,0.8702907452907452,0.7845115585422688,0.6957983193277311,0.9274492640810648,0.1739084729182596,0.0755221386800334,0.8,3.0,0.05,0.8,True
adult,3,xgboost,bayesian,363.52556259999983,0.7972250431654199,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""min_child_weight"": ""1""}",100,,,,7.0,0.8754095004095004,0.7994622845108675,0.7151883922302832,0.9310323928941008,0.1790148450744491,0.0603174603174603,0.8,1.0,0.1,0.8,True
adult,4,random_forest,random,518.1549030000024,0.7686816603541274,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}",100,2.0,1.0,log2,,0.8593366093366094,0.7796586101763956,0.6807620817843866,0.9054735602919848,0.1788232707224779,0.0497786143796877,,,,,True
adult,4,random_forest,bayesian,515.0340335999936,0.7661434329801988,"{""n_estimators"": ""81"", ""max_depth"": ""20"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",81,2.0,1.0,,20.0,0.8653767403767404,0.7740953183494396,0.6804374240583232,0.9201547691910636,0.1634141285085477,0.0473975659112266,,,,,True
adult,4,xgboost,random,315.96638930000336,0.783065585209462,"{""subsample"": 0.8, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}",100,,,,7.0,0.8708026208026208,0.7892479014032221,0.7009478672985782,0.9289323421462335,0.1729532568806751,0.0366107821715392,0.8,3.0,0.05,0.8,True
adult,4,xgboost,bayesian,325.5573691000027,0.7927690369443895,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""min_child_weight"": ""5""}",100,,,,7.0,0.8742833742833743,0.8000421161808882,0.7145513714551371,0.9314551094430478,0.1752734943498483,0.0219973133932535,1.0,5.0,0.1,0.8,True
adult,5,random_forest,random,464.3003499999977,0.7709982442367492,"{""n_estimators"": 50, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}",50,2.0,1.0,log2,,0.847051597051597,0.759704557927801,0.6494603472548099,0.8934102169570661,0.1701357750524134,0.0502762430939226,,,,,True
adult,5,random_forest,bayesian,462.8518131000019,0.7683060378242107,"{""n_estimators"": ""50"", ""max_depth"": ""20"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",50,2.0,1.0,,20.0,0.8584152334152334,0.758960096559723,0.6575885120079228,0.9134462385568972,0.1471147612007222,0.0448031330862298,,,,,True
adult,5,xgboost,random,310.8108999000033,0.7862536257761898,"{""subsample"": 1.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 7, ""learning_rate"": 0.05, ""colsample_bytree"": 0.8}",100,,,,7.0,0.8648648648648649,0.7734655622484237,0.6793002915451894,0.9236555543635884,0.1570460480870608,0.0606336107420099,1.0,3.0,0.05,0.8,True
adult,5,xgboost,bayesian,51992.5874668,0.7984843957534572,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""min_child_weight"": ""1""}",100,,,,7.0,0.8692669942669943,0.7867719778487545,0.6970344009489917,0.9256913425220776,0.166644070312784,0.0671641373522623,0.8,1.0,0.1,1.0,True
bank_marketing,1,random_forest,random,490.44162000001234,0.6647920050922717,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""max_depth"": null}",100,2.0,1.0,log2,,0.9063363927900032,0.6796610610868914,0.4894514767932489,0.9257869493012064,0.0,0.0,,,,,False
bank_marketing,1,random_forest,bayesian,552.3825158000109,0.6690478118321246,"{""n_estimators"": ""100"", ""max_depth"": ""20"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",100,2.0,1.0,,20.0,0.9069998894172288,0.6861863512990449,0.5002970885323826,0.9265707914059088,0.0,0.0,,,,,False
bank_marketing,1,xgboost,random,219.7404119999992,0.6900478546651683,"{""subsample"": 1.0, ""n_estimators"": 50, ""min_child_weight"": 1, ""max_depth"": 7, ""learning_rate"": 0.1, ""colsample_bytree"": 1.0}",50,,,,7.0,0.9083268826716796,0.707026407027354,0.5313736574335783,0.928796609427175,0.0,0.0,1.0,1.0,0.1,1.0,False
bank_marketing,1,xgboost,bayesian,246.7870506000036,0.7076615369333253,"{""n_estimators"": ""100"", ""max_depth"": ""7"", ""learning_rate"": 0.1, ""subsample"": 0.8508191377098249, ""colsample_bytree"": 1.0, ""min_child_weight"": ""1""}",100,,,,7.0,0.9097644586973348,0.7225994391658273,0.5536105032822757,0.9321944619696902,0.0,0.0,0.8508191377098249,1.0,0.1,1.0,False
bank_marketing,2,random_forest,random,533.2527964999899,0.6752720183479854,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20}",100,5.0,2.0,sqrt,20.0,0.9010174740101748,0.6673346844159669,0.4611679711017459,0.9223641300001364,0.0,0.0,,,,,False
bank_marketing,2,random_forest,bayesian,551.2480696999992,0.6816497081868143,"{""n_estimators"": ""50"", ""max_depth"": ""20"", ""min_samples_split"": ""2"", ""min_samples_leaf"": ""1""}",50,2.0,1.0,,20.0,0.900575094005751,0.6674946342746482,0.4607078584283143,0.9194683859104318,0.0,0.0,,,,,False
