dataset,metric,random_mean,random_std,random_median,bayesian_mean,bayesian_std,bayesian_median,diff_mean_bayes_minus_random,diff_median_bayes_minus_random
adult,accuracy,0.8624338622675196,0.00933670408801564,0.8637969528541747,0.8683304868674405,0.006174409888878987,0.8676870338312144,0.005896624599920908,0.0038900809770396894
adult,balanced_accuracy,0.7770598737053568,0.009654281892261325,0.7768512701551227,0.7817564902053258,0.015988586250459163,0.780433648099097,0.0046966164999689974,0.003582377943974313
adult,f1,0.6810421837899132,0.017972994003282203,0.680031186664788,0.6906665551716992,0.02198454416224073,0.6887359125036574,0.009624371381785957,0.008704725838869387
adult,roc_auc,0.9140725535966938,0.01320485271688028,0.91682378653501,0.9224742309091107,0.0069603924919789594,0.9225503422502093,0.008401677312416922,0.005726555715199311
adult,runtime_seconds,427.48868063000043,107.5694668523711,408.56229189999794,5602.629857129999,16300.021270380876,485.0647828500005,5175.141176499999,76.50249095000254
bank_marketing,accuracy,0.905343788284943,0.0025714528159324207,0.9064418084277378,0.9056534310512264,0.0029935332585661464,0.9057177615571776,0.00030964276628342446,-0.0007240468705601577
bank_marketing,balanced_accuracy,0.6864655600277333,0.014472805860337147,0.6862473766057635,0.6959078130662337,0.021205896658101134,0.6972712733006884,0.009442253038500437,0.011023896694924873
bank_marketing,f1,0.49700008849459054,0.023336190390685095,0.4973186493692833,0.5101021737111446,0.03300114764055429,0.5115615877444522,0.013102085216554094,0.014242938375168823
bank_marketing,roc_auc,0.9239816621205916,0.0033303404925947235,0.923189017401516,0.9252104981711777,0.005042719103305159,0.925244344318522,0.0012288360505861018,0.0020553269170059396
bank_marketing,runtime_seconds,421.5847363600013,217.83372818699866,371.56002970000554,430.6627346199981,155.32079341864534,451.87941569999384,9.077998259996832,80.3193859999883
wdbc,accuracy,0.9587020648967552,0.01706950521049076,0.9647570253066293,0.956947678931843,0.01570469695274678,0.9603710603943487,-0.0017543859649122862,-0.004385964912280604
wdbc,balanced_accuracy,0.95470682622869,0.023278298727672737,0.9578373015873016,0.9518396230093742,0.022800629003600918,0.9528769841269842,-0.0028672032193157726,-0.004960317460317443
wdbc,f1,0.9438499499710851,0.024766373861710007,0.951219512195122,0.9410583112584592,0.02328563163444639,0.9441358024691358,-0.002791638712625888,-0.007083709725986265
wdbc,roc_auc,0.9926815847713325,0.005545627730168848,0.9918469148222668,0.9919584258349408,0.006360525222813512,0.9928739101274312,-0.0007231589363917434,0.0010269953051643688
wdbc,runtime_seconds,32.43130341000142,6.627102729012666,32.497387650000746,46.6787307800012,6.946511693685122,45.81876145000206,14.247427369999784,13.32137380000131
