dataset,model,optimizer,count,mean_seconds,std_seconds,median_seconds,min_seconds,max_seconds,q1_seconds,q3_seconds,iqr_seconds,upper_bound_seconds,outlier_count
adult,random_forest,bayesian,5,523.1544194399976,48.71014722717023,515.0340335999936,462.8518131000019,596.7930085999978,507.2777525999991,533.8154892999955,26.537736699996458,573.6220943499902,1
adult,random_forest,random,5,522.2086365600001,57.069136999265034,518.1549030000024,464.3003499999977,604.1871211999969,475.2075549000001,549.193253700003,73.98569880000287,660.1718019000073,0
adult,xgboost,bayesian,5,10682.105294820001,23093.26764881428,363.52556259999983,325.5573691000027,51992.5874668,362.8580634000027,365.9980121999979,3.1399487999951816,370.7079353999907,1
adult,xgboost,random,5,332.7687247000009,18.671272619696836,336.980733700002,310.8108999000033,352.8242337999982,315.96638930000336,347.26136679999763,31.294977499994275,394.20383304998904,0
bank_marketing,random_forest,bayesian,5,575.0544860599999,22.21352115803772,584.5938310999918,551.2480696999992,601.2619941000012,552.3825158000109,585.7860195999965,33.40350379998563,635.891275299975,0
bank_marketing,random_forest,random,5,610.045614080003,133.117867570969,559.2337680000055,490.44162000001234,827.3017194999993,533.2527964999899,639.9981664000079,106.74536990001798,800.1162212500349,1
bank_marketing,xgboost,bayesian,5,286.2709831799963,40.79644250945906,278.16107719999854,246.7870506000036,352.5107616999885,261.6003166000009,292.2957097999897,30.695393199988814,338.33879959997296,1
bank_marketing,xgboost,random,5,233.12385863999953,15.869052004785738,223.6917284999945,219.7404119999992,252.67843939999875,221.49677680000605,248.01193649999917,26.51515969999312,287.78467604998883,0
wdbc,random_forest,bayesian,5,52.68561986000132,3.5017329110628284,51.8324328000017,47.983121299999766,57.29791770000156,51.65917640000407,54.65545109999948,2.9962746999954106,59.1498631499926,0
wdbc,random_forest,random,5,38.68345958000136,0.7974368763878683,38.46879930000432,37.81119159999798,39.83678990000044,38.20063849999861,39.09987860000547,0.8992401000068568,40.44873875001575,0
wdbc,xgboost,bayesian,5,40.671841700001096,2.470350414344562,39.26245840000047,38.190355500002624,43.65440160000435,39.26076019999891,42.991232799999125,3.730472600000212,48.58694169999944,0
wdbc,xgboost,random,5,26.179147240001477,0.6760593908835512,26.199819500005106,25.333465399999117,27.18358370000351,25.88011290000577,26.29875469999388,0.4186417999881087,26.92671739997604,1
