dataset,metric,random_forest_mean,random_forest_std,random_forest_median,xgboost_mean,xgboost_std,xgboost_median,diff_mean_xgb_minus_rf,diff_median_xgb_minus_rf
adult,accuracy,0.8588918451110077,0.006361816205634405,0.8609234234234234,0.8718725040239524,0.0032452607618209824,0.8723001330740097,0.012980658912944754,0.011376709650586236
adult,balanced_accuracy,0.7688227560579939,0.0063334813238289395,0.7688585597112266,0.7899936078526888,0.00848403582784324,0.7884570095392389,0.02117085179469491,0.019598449828012288
adult,f1,0.6690956388508063,0.010377969200649288,0.6714719546708257,0.7026131001108061,0.011224277420444134,0.7006173370909716,0.03351746125999988,0.02914538242014597
adult,roc_auc,0.9094995673699945,0.008974275884198758,0.9125497634985522,0.9270472171358103,0.0032290175360295582,0.9271249983878308,0.017547649765815798,0.014575234889278588
adult,runtime_seconds,522.6815279999988,50.022767734163,516.594468299998,5507.437009760001,16333.229101262084,350.0428002999979,4984.755481760002,-166.55166800000006
bank_marketing,accuracy,0.9046249354536364,0.0024995664205365417,0.9058335359216549,0.906372283882533,0.002771787801121859,0.9068237115682372,0.0017473484288965668,0.0009901756465822142
bank_marketing,balanced_accuracy,0.6759707718381975,0.008038966601564902,0.6773486670054055,0.7064026012557695,0.011382462682323393,0.7084108424413134,0.030431829417571943,0.031062175435907835
bank_marketing,f1,0.48065900779967075,0.01518049126646082,0.4807224628523049,0.5264432544060644,0.01827625329525141,0.5292227403189991,0.045784246606393686,0.048500277466694164
bank_marketing,roc_auc,0.9224861535375577,0.003459245256754665,0.9227210752038406,0.9267060067542117,0.003936984723127526,0.9277164915843028,0.004219853216653968,0.004995416380462192
bank_marketing,runtime_seconds,592.5500500700015,91.84296764695894,571.9137995499987,259.6974209099979,40.45058473551756,250.34518794999894,-332.8526291600036,-321.5686115999997
wdbc,accuracy,0.9525694767893185,0.01807286614058958,0.9646017699115044,0.9630802670392798,0.012317101967644852,0.9605263157894737,0.010510790249961377,-0.004075454122030697
wdbc,balanced_accuracy,0.9470275139207338,0.02530892904291546,0.9572434607645876,0.9595189353173303,0.018414306324778845,0.9548611111111112,0.012491421396596536,-0.00238234965347639
wdbc,f1,0.9350052859561968,0.027035561437751574,0.950609756097561,0.9499029752733474,0.017484315168254206,0.9469135802469135,0.01489768931715063,-0.0036961758506475206
wdbc,roc_auc,0.9911847484562847,0.006261643246921764,0.9912600603621731,0.9934552621499886,0.005424813964955881,0.9934607645875251,0.0022705136937039017,0.0022007042253520126
wdbc,runtime_seconds,45.68453972000134,7.758460522237041,43.9099556000001,33.42549447000128,7.826835827642936,32.68696960000307,-12.259045250000057,-11.222985999997036
